Date,Product,Quantity,Price,Cost,Profit
10/26/2024,Smartwatch,20,23836,12571,225300
4/22/2024,Camera,1,17287,19362,-2075
4/20/2024,Keyboard,8,32448,17531,119336
6/30/2024,Tablet,3,12997,10835,6486
11/28/2024,Printer,13,37511,28498,117169
9/10/2024,Tablet,9,15610,10754,43704
12/18/2024,Headphones,16,14306,7155,114416
9/18/2024,Mobile,4,48320,45178,12568
11/3/2024,Printer,4,39912,26742,52680
2/20/2024,Printer,10,19335,7465,118700
9/4/2024,Headphones,4,30485,16092,57572
12/26/2024,Smartwatch,5,28547,18248,51495
8/1/2024,Keyboard,7,30015,20427,67116
2/9/2024,Camera,5,38413,41492,-15395
10/3/2024,Laptop,1,46806,44391,2415
8/23/2024,Headphones,14,8084,1391,93702
4/21/2024,Smartwatch,18,5555,9293,-67284
8/22/2024,Printer,15,51619,42296,139845
7/28/2024,Tablet,2,53165,49507,7316
10/20/2024,Mouse,10,54587,47740,68470
1/2/2024,Mobile,13,41613,45947,-56342
4/13/2024,Camera,17,13204,11682,25874
8/13/2024,Monitor,3,38881,39895,-3042
6/7/2024,Printer,1,50765,48249,2516
11/6/2024,Mouse,14,24369,12322,168658
5/31/2024,Smartwatch,1,31212,34337,-3125
6/29/2024,Mouse,14,24443,13489,153356
3/24/2024,Tablet,16,30657,26904,60048
4/16/2024,Smartwatch,15,9061,3544,82755
7/27/2024,Keyboard,18,20767,20283,8712
1/3/2024,Mouse,16,26037,26016,336
7/15/2024,Headphones,17,55565,49306,106403
9/1/2024,Printer,4,26516,14313,48812
8/12/2024,Mouse,2,28415,30122,-3414
3/24/2024,Smartwatch,7,19533,12008,52675
11/6/2024,Mobile,14,3699,8017,-60452
6/24/2024,Laptop,15,55190,44775,156225
1/20/2024,Monitor,10,17180,12260,49200
9/9/2024,Tablet,1,20598,16556,4042
2/20/2024,Laptop,19,8542,10206,-31616
6/11/2024,Camera,2,24732,16738,15988
9/23/2024,Laptop,20,31208,35595,-87740
12/14/2024,Monitor,2,13642,16904,-6524
7/29/2024,Smartwatch,13,5959,6865,-11778
10/2/2024,Mouse,14,20876,22940,-28896
12/27/2024,Monitor,10,42072,39475,25970
6/12/2024,Monitor,18,39923,39363,10080
8/14/2024,Mouse,17,43117,44761,-27948
10/20/2024,Printer,3,60407,46122,42855
4/7/2024,Mouse,8,15852,10102,46000
1/31/2024,Mobile,20,13910,5464,168920
8/25/2024,Laptop,4,3827,4014,-748
10/27/2024,Printer,8,26487,29003,-20128
11/18/2024,Headphones,17,12618,5079,128163
2/10/2024,Tablet,17,21052,21221,-2873
4/11/2024,Mobile,13,30028,19990,130494
11/22/2024,Keyboard,12,46725,42113,55344
9/25/2024,Mobile,2,23568,25834,-4532
1/15/2024,Headphones,19,28410,19496,169366
12/1/2024,Tablet,2,25747,22235,7024
2/7/2024,Tablet,5,21256,20048,6040
12/26/2024,Monitor,16,7387,10720,-53328
9/13/2024,Laptop,13,47885,40845,91520
1/3/2024,Printer,13,45333,37896,96681
7/18/2024,Monitor,9,35211,34746,4185
10/7/2024,Camera,10,49396,48294,11020
6/9/2024,Monitor,14,7962,9649,-23618
10/28/2024,Camera,7,12553,3766,61509
2/19/2024,Keyboard,13,19073,21386,-30069
9/28/2024,Mouse,15,21349,9757,173880
10/11/2024,Smartwatch,3,30636,29488,3444
5/11/2024,Mobile,7,17016,3680,93352
5/9/2024,Printer,18,15068,1135,250794
8/24/2024,Monitor,20,45762,41173,91780
4/2/2024,Keyboard,5,35385,31827,17790
8/17/2024,Laptop,4,21468,7401,56268
10/12/2024,Headphones,2,5600,6130,-1060
12/11/2024,Keyboard,9,26417,26564,-1323
11/19/2024,Keyboard,17,28161,21009,121584
5/31/2024,Mobile,10,36898,24633,122650
5/2/2024,Smartwatch,14,35900,34536,19096
7/28/2024,Mouse,5,1784,4948,-15820
9/24/2024,Camera,19,3640,3197,8417
5/19/2024,Mouse,2,28544,24452,8184
10/26/2024,Camera,5,18138,12916,26110
4/3/2024,Laptop,12,40414,40599,-2220
2/12/2024,Laptop,16,14892,5263,154064
12/2/2024,Mobile,17,36713,29687,119442
6/5/2024,Mobile,2,27447,32352,-9810
7/1/2024,Laptop,10,1665,5551,-38860
7/3/2024,Mouse,1,32877,27871,5006
3/14/2024,Keyboard,12,28307,23163,61728
2/3/2024,Headphones,15,19266,21864,-38970
3/8/2024,Mobile,16,36385,34587,28768
2/9/2024,Printer,16,10620,8735,30160
3/14/2024,Laptop,5,51216,49970,6230
10/19/2024,Tablet,4,52150,41924,40904
6/6/2024,Camera,19,58327,43583,280136
6/28/2024,Headphones,17,5348,9386,-68646
2/12/2024,Camera,18,44702,31410,239256
5/29/2024,Headphones,4,24003,20524,13916
2/10/2024,Camera,14,44592,34098,146916
10/2/2024,Tablet,9,36889,40250,-30249
4/17/2024,Monitor,3,5478,4636,2526
5/29/2024,Smartwatch,9,10986,1875,81999
5/3/2024,Mobile,18,30113,21048,163170
5/17/2024,Keyboard,9,22829,9620,118881
11/4/2024,Smartwatch,2,10512,12776,-4528
9/15/2024,Mouse,14,29318,22570,94472
6/9/2024,Smartwatch,7,41139,43612,-17311
10/19/2024,Smartwatch,11,26232,13861,136081
8/30/2024,Laptop,3,29442,21615,23481
8/17/2024,Mobile,12,8815,2389,77112
12/26/2024,Smartwatch,5,12297,4667,38150
6/19/2024,Keyboard,11,24979,20349,50930
8/17/2024,Mouse,13,32994,36925,-51103
9/27/2024,Smartwatch,2,54524,46959,15130
8/21/2024,Monitor,11,22470,10188,135102
2/25/2024,Mobile,18,18341,11391,125100
4/30/2024,Laptop,14,11831,3029,123228
7/15/2024,Mouse,18,21081,21422,-6138
11/25/2024,Camera,18,32735,31626,19962
5/12/2024,Camera,11,27561,21256,69355
2/10/2024,Headphones,15,34961,33497,21960
3/9/2024,Tablet,12,8871,12037,-37992
7/19/2024,Mouse,5,21016,14176,34200
10/23/2024,Mobile,16,27830,15950,190080
7/15/2024,Tablet,6,34534,25849,52110
12/13/2024,Tablet,16,4492,4910,-6688
5/19/2024,Laptop,1,32096,21494,10602
4/14/2024,Keyboard,19,26041,17012,171551
5/28/2024,Mobile,19,43626,34709,169423
3/25/2024,Keyboard,12,35563,39315,-45024
5/24/2024,Keyboard,2,48629,45022,7214
5/9/2024,Keyboard,7,58529,48911,67326
