Date,Product,Quantity,Price,Cost,Profit
2024-10-26,Smartwatch,20,23836,12571,225300
2024-04-22,Camera,1,17287,19362,-2075
2024-04-20,Keyboard,8,32448,17531,119336
2024-06-30,Tablet,3,12997,10835,6486
2024-11-28,Printer,13,37511,28498,117169
2024-09-10,Tablet,9,15610,10754,43704
2024-12-18,Headphones,16,14306,7155,114416
2024-09-18,Mobile,4,48320,45178,12568
2024-11-03,Printer,4,39912,26742,52680
2024-02-20,Printer,10,19335,7465,118700
2024-09-04,Headphones,4,30485,16092,57572
2024-12-26,Smartwatch,5,28547,18248,51495
2024-08-01,Keyboard,7,30015,20427,67116
2024-02-09,Camera,5,38413,41492,-15395
2024-10-03,Laptop,1,46806,44391,2415
2024-08-23,Headphones,14,8084,1391,93702
2024-04-21,Smartwatch,18,5555,9293,-67284
2024-08-22,Printer,15,51619,42296,139845
2024-07-28,Tablet,2,53165,49507,7316
2024-10-20,Mouse,10,54587,47740,68470
2024-01-02,Mobile,13,41613,45947,-56342
2024-04-13,Camera,17,13204,11682,25874
2024-08-13,Monitor,3,38881,39895,-3042
2024-06-07,Printer,1,50765,48249,2516
2024-11-06,Mouse,14,24369,12322,168658
2024-05-31,Smartwatch,1,31212,34337,-3125
2024-06-29,Mouse,14,24443,13489,153356
2024-03-24,Tablet,16,30657,26904,60048
2024-04-16,Smartwatch,15,9061,3544,82755
2024-07-27,Keyboard,18,20767,20283,8712
2024-01-03,Mouse,16,26037,26016,336
2024-07-15,Headphones,17,55565,49306,106403
2024-09-01,Printer,4,26516,14313,48812
2024-08-12,Mouse,2,28415,30122,-3414
2024-03-24,Smartwatch,7,19533,12008,52675
2024-11-06,Mobile,14,3699,8017,-60452
2024-06-24,Laptop,15,55190,44775,156225
2024-01-20,Monitor,10,17180,12260,49200
2024-09-09,Tablet,1,20598,16556,4042
2024-02-20,Laptop,19,8542,10206,-31616
2024-06-11,Camera,2,24732,16738,15988
2024-09-23,Laptop,20,31208,35595,-87740
2024-12-14,Monitor,2,13642,16904,-6524
2024-07-29,Smartwatch,13,5959,6865,-11778
2024-10-02,Mouse,14,20876,22940,-28896
2024-12-27,Monitor,10,42072,39475,25970
2024-06-12,Monitor,18,39923,39363,10080
2024-08-14,Mouse,17,43117,44761,-27948
2024-10-20,Printer,3,60407,46122,42855
2024-04-07,Mouse,8,15852,10102,46000
2024-01-31,Mobile,20,13910,5464,168920
2024-08-25,Laptop,4,3827,4014,-748
2024-10-27,Printer,8,26487,29003,-20128
2024-11-18,Headphones,17,12618,5079,128163
2024-02-10,Tablet,17,21052,21221,-2873
2024-04-11,Mobile,13,30028,19990,130494
2024-11-22,Keyboard,12,46725,42113,55344
2024-09-25,Mobile,2,23568,25834,-4532
2024-01-15,Headphones,19,28410,19496,169366
2024-12-01,Tablet,2,25747,22235,7024
2024-02-07,Tablet,5,21256,20048,6040
2024-12-26,Monitor,16,7387,10720,-53328
2024-09-13,Laptop,13,47885,40845,91520
2024-01-03,Printer,13,45333,37896,96681
2024-07-18,Monitor,9,35211,34746,4185
2024-10-07,Camera,10,49396,48294,11020
2024-06-09,Monitor,14,7962,9649,-23618
2024-10-28,Camera,7,12553,3766,61509
2024-02-19,Keyboard,13,19073,21386,-30069
2024-09-28,Mouse,15,21349,9757,173880
2024-10-11,Smartwatch,3,30636,29488,3444
2024-05-11,Mobile,7,17016,3680,93352
2024-05-09,Printer,18,15068,1135,250794
2024-08-24,Monitor,20,45762,41173,91780
2024-04-02,Keyboard,5,35385,31827,17790
2024-08-17,Laptop,4,21468,7401,56268
2024-10-12,Headphones,2,5600,6130,-1060
2024-12-11,Keyboard,9,26417,26564,-1323
2024-11-19,Keyboard,17,28161,21009,121584
2024-05-31,Mobile,10,36898,24633,122650
2024-05-02,Smartwatch,14,35900,34536,19096
2024-07-28,Mouse,5,1784,4948,-15820
2024-09-24,Camera,19,3640,3197,8417
2024-05-19,Mouse,2,28544,24452,8184
2024-10-26,Camera,5,18138,12916,26110
2024-04-03,Laptop,12,40414,40599,-2220
2024-02-12,Laptop,16,14892,5263,154064
2024-12-02,Mobile,17,36713,29687,119442
2024-06-05,Mobile,2,27447,32352,-9810
2024-07-01,Laptop,10,1665,5551,-38860
2024-07-03,Mouse,1,32877,27871,5006
2024-03-14,Keyboard,12,28307,23163,61728
2024-02-03,Headphones,15,19266,21864,-38970
2024-03-08,Mobile,16,36385,34587,28768
2024-02-09,Printer,16,10620,8735,30160
2024-03-14,Laptop,5,51216,49970,6230
2024-10-19,Tablet,4,52150,41924,40904
2024-06-06,Camera,19,58327,43583,280136
2024-06-28,Headphones,17,5348,9386,-68646
2024-02-12,Camera,18,44702,31410,239256
2024-05-29,Headphones,4,24003,20524,13916
2024-02-10,Camera,14,44592,34098,146916
2024-10-02,Tablet,9,36889,40250,-30249
2024-04-17,Monitor,3,5478,4636,2526
2024-05-29,Smartwatch,9,10986,1875,81999
2024-05-03,Mobile,18,30113,21048,163170
2024-05-17,Keyboard,9,22829,9620,118881
2024-11-04,Smartwatch,2,10512,12776,-4528
2024-09-15,Mouse,14,29318,22570,94472
2024-06-09,Smartwatch,7,41139,43612,-17311
2024-10-19,Smartwatch,11,26232,13861,136081
2024-08-30,Laptop,3,29442,21615,23481
2024-08-17,Mobile,12,8815,2389,77112
2024-12-26,Smartwatch,5,12297,4667,38150
2024-06-19,Keyboard,11,24979,20349,50930
2024-08-17,Mouse,13,32994,36925,-51103
2024-09-27,Smartwatch,2,54524,46959,15130
2024-08-21,Monitor,11,22470,10188,135102
2024-02-25,Mobile,18,18341,11391,125100
2024-04-30,Laptop,14,11831,3029,123228
2024-07-15,Mouse,18,21081,21422,-6138
2024-11-25,Camera,18,32735,31626,19962
2024-05-12,Camera,11,27561,21256,69355
2024-02-10,Headphones,15,34961,33497,21960
2024-03-09,Tablet,12,8871,12037,-37992
2024-07-19,Mouse,5,21016,14176,34200
2024-10-23,Mobile,16,27830,15950,190080
2024-07-15,Tablet,6,34534,25849,52110
2024-12-13,Tablet,16,4492,4910,-6688
