Date,Product,Quantity,Price,Cost,Profit
2024-07-19,Mouse,16.0,40283,26078,227280.0
2024-10-11,Printer,-5.0,-287,6017,31520.0
2024-03-05,Mobile,,8238,4131,
2024-01-28,Laptop,14.0,29372,19285,141218.0
2024-03-18,Camera,19.0,41841,39578,42997.0
,Headphones,2.0,20326,13106,
2024-02-19,Camera,-3.0,33046,36668,10866.0
2024-06-09,,,4853,2265,
2024-11-27,Keyboard,2.0,31157,21077,20160.0
2024-03-10,Keyboard,,31047,23001,
2024-07-04,Tablet,,19960,7341,
2024-12-04,Camera,-5.0,27816,20552,-36320.0
2024-08-06,Mobile,,13819,12109,
2024-12-08,Camera,6.0,41580,34670,41460.0
2024-04-05,Tablet,,26091,23619,
2024-05-31,Laptop,,45325,37408,
2024-06-27,Headphones,,60513,46103,
2024-03-16,Smartwatch,14.0,21377,9225,170128.0
2024-05-27,Mobile,3.0,16249,1379,44610.0
2024-09-06,Keyboard,,40867,28195,
2024-02-25,Mouse,13.0,22685,8956,178477.0
2024-04-12,Keyboard,-4.0,13944,7764,-24720.0
2024-01-06,Monitor,,18307,11262,
2024-12-27,Mobile,,18085,13460,
2024-04-29,,,62075,48724,
2024-10-19,Mobile,,26495,14423,
2024-03-20,,,14306,2403,
2024-12-25,Smartwatch,11.0,25434,19319,67265.0
2024-11-03,Printer,10.0,33692,28988,47040.0
2024-03-08,Keyboard,11.0,24727,12083,139084.0
2024-07-09,Smartwatch,18.0,50158,35786,258696.0
2024-05-18,Tablet,,47063,33666,
2024-08-13,Unknown,0.0,48667,40073,0.0
2024-12-12,Keyboard,,20164,9604,
2024-08-10,Keyboard,18.0,55137,40594,261774.0
2024-03-07,Laptop,15.0,26517,13851,189990.0
2024-02-02,Smartwatch,7.0,13912,9225,32809.0
2024-12-09,Headphones,,42522,28372,
2024-03-25,Tablet,17.0,31338,16665,249441.0
2024-08-26,Headphones,,36910,28795,
2024-07-21, ,5.0,46620,32564,70280.0
2024-01-29,Monitor,7.0,35462,24740,75054.0
2024-08-31,Tablet,,15275,7560,
2024-01-26,Unknown,,18535,25867,
2024-06-01,,13.0,26906,23752,41002.0
2024-10-01,Smartwatch,,28918,14576,
2024-08-06,Monitor,,22240,10210,
2024-02-21,Tablet,,12673,9283,
2024-12-14,,,32311,18215,
2024-08-20,Tablet,1.0,41479,40018,1461.0
2024-09-07,,20.0,36215,30723,109840.0
2024-12-28,Mouse,,59724,49637,
2024-04-17,Camera,10.0,32300,18400,139000.0
2024-10-19,Headphones,,16743,15340,
2024-04-20,Keyboard,,53122,45147,
2024-06-09,Keyboard,,21018,17892,
2024-09-15,Keyboard,-2.0,58571,49119,-18904.0
2024-07-26, ,,40316,34982,
2024-03-04,Camera,,50113,36477,
2024-05-31,Tablet,11.0,9304,10175,-9581.0
2024-08-08,Keyboard,12.0,15997,11057,59280.0
2024-04-22,Smartwatch,15.0,35287,33757,22950.0
2024-02-29,Mobile,,17986,12417,
2024-02-13,Tablet,,20826,11125,
2024-07-21,Mobile,9.0,44388,39623,42885.0
2024-08-31,Monitor,,16815,4117,
2024-06-24,Keyboard,,43424,40854,
2024-02-18,,12.0,33822,26414,88896.0
2024-05-05, ,,38784,33507,
2024-01-09, ,-4.0,33698,32615,-4332.0
2024-03-22,Keyboard,8.0,41755,32877,71024.0
2024-06-12,Mobile,,31882,24689,
2024-05-07,,,32431,26976,
2024-09-21, ,18.0,44249,37828,115578.0
,Unknown,12.0,47691,41935,
2024-05-30,Smartwatch,15.0,45308,41435,58095.0
2024-02-13,Mobile,15.0,41132,46305,-77595.0
2024-10-01,Keyboard,10.0,23057,11221,118360.0
2024-10-18,Monitor,3.0,41784,29807,35931.0
2024-02-29,Smartwatch,4.0,30189,27410,11116.0
2024-11-22,Camera,,49888,48074,
2024-01-02,Printer,,56090,45088,
2024-08-09,Printer,18.0,20208,17919,41202.0
2024-03-09,Unknown,,43096,29762,
2024-09-22,Keyboard,7.0,29467,25571,27272.0
2024-10-03,Monitor,12.0,44162,33198,131568.0
2024-03-02,Mobile,19.0,12484,1787,203243.0
2024-09-24,Mouse,,18889,14109,
2024-07-09,Unknown,,49100,39327,
2024-09-02,Unknown,,29703,15391,
2024-04-09,Keyboard,,37441,28699,
2024-05-31, ,19.0,17801,9562,156541.0
2024-09-21,Mouse,,32588,28134,
2024-04-28,Tablet,8.0,37559,31097,51696.0
2024-09-26,Monitor,,31940,23278,
2024-07-24,Laptop,,50986,48208,
2024-12-23,Headphones,7.0,18626,13496,35910.0
2024-01-02,Printer,,32906,19190,
2024-07-28,Tablet,,55281,41888,
2024-10-11,Printer,,55156,41678,
2024-10-30,Printer,,30342,29266,
2024-02-23,Camera,,55624,48491,
2024-04-11,Headphones,20.0,56988,47094,197880.0
2024-09-16,Headphones,,27984,20100,
2024-07-09,Tablet,10.0,14046,3001,110450.0
2024-05-06,Keyboard,,49040,42253,
2024-10-07,Mobile,,12723,4152,
2024-12-26, ,3.0,8569,1059,22530.0
2024-05-05,Smartwatch,9.0,36144,21406,132642.0
2024-08-11,Mobile,,58044,47317,
2024-01-13,Camera,,35607,31610,
2024-06-25,Monitor,12.0,12957,9588,40428.0
2024-01-27,Laptop,,16366,2665,
2024-07-14,Headphones,16.0,26192,26838,-10336.0
2024-12-19,Camera,,34355,25308,
2024-04-25,Unknown,-1.0,49969,46832,-3137.0
2024-02-10,Mouse,,19764,18364,
,Camera,,39473,42068,
2024-11-29,Mobile,12.0,19983,10669,111768.0
2024-11-15,,17.0,55805,41974,235127.0
2024-05-09,Laptop,8.0,60499,49242,90056.0
2024-10-10,Keyboard,,33057,20388,
2024-02-19,Laptop,4.0,57069,48535,34136.0
2024-02-25,,7.0,54144,47325,47733.0
2024-06-09,Camera,17.0,34216,19409,251719.0
2024-08-26,Laptop,,62218,49420,
2024-08-04, ,,34935,23266,
2024-08-27,Tablet,,11583,9361,
2024-06-01,Unknown,8.0,26603,11633,119760.0
2024-05-28,Monitor,5.0,33779,42129,-41750.0
2024-03-07,Smartwatch,,21114,17096,
2024-08-09,Smartwatch,12.0,23189,10539,151800.0
2024-04-02,Printer,,21888,30314,
2024-01-14,Smartwatch,9.0,53877,49085,43128.0
2024-10-13, ,,42113,33692,
2024-09-28,Unknown,,46723,44556,
2024-03-21,,,9337,8104,
2024-11-09,Monitor,,55405,47501,
2024-05-04,Mouse,,-5662,4016,
2024-06-14,Tablet,,33440,25431,
2024-03-16,Smartwatch,1.0,27701,16197,11504.0
2024-08-13,Mouse,18.0,36849,33317,63576.0
2024-02-12,Headphones,,48704,35327,
2024-02-20,Tablet,16.0,25569,16853,139456.0
2024-05-10,Camera,,19478,11381,
2024-08-25,,,27395,25003,
2024-08-16,Printer,9.0,9572,10637,-9585.0
2024-05-29,Headphones,,41091,43735,
2024-11-19, ,,38754,31263,
2024-06-02,,-2.0,21916,17177,-9478.0
2024-02-25,Keyboard,,29658,24026,
2024-02-05,Laptop,,24332,29206,
2024-04-19,Monitor,11.0,13743,3364,114169.0
2024-07-03,Mouse,14.0,54534,48382,86128.0
2024-06-16,Mobile,2.0,29669,25308,8722.0
2024-12-02,Laptop,,36490,27369,
2024-02-19,Mobile,,19374,11160,
2024-04-16,Smartwatch,,36616,29689,
2024-08-19,Headphones,,39921,31333,
2024-01-28, ,,55715,42159,
2024-07-01,Mouse,4.0,57758,43162,58384.0
2024-08-18,Tablet,,50443,38124,
2024-08-27,,0.0,51494,38075,0.0
2024-10-23,Mobile,,21441,18968,
2024-10-16,Mouse,7.0,15649,1308,100387.0
2024-06-13,Monitor,10.0,23132,10268,128640.0
2024-08-29,Laptop,4.0,13977,6857,28480.0
2024-02-05,Headphones,,29393,24049,
2024-01-21,Printer,12.0,32346,29171,38100.0
2024-04-03,Smartwatch,0.0,8007,3648,0.0
2024-02-16,Unknown,2.0,28667,25055,7224.0
2024-12-20,Printer,,63300,48882,
2024-09-26,Camera,,47535,32966,
2024-10-05,Headphones,,25981,15962,
2024-06-07,Printer,,8011,10888,
2024-01-04,Unknown,11.0,23637,11454,134013.0
2024-10-15,Keyboard,,53756,40480,
2024-02-17,Camera,11.0,38778,26562,134376.0
2024-06-20,Laptop,,30066,19428,
2024-03-31,Unknown,18.0,20239,16238,72018.0
2024-04-07,Tablet,,37705,33642,
2024-10-02,Printer,,46935,44313,
2024-05-16,Unknown,3.0,38552,26830,35166.0
2024-07-01,,-3.0,30173,19394,-32337.0
2024-11-03,Camera,,35966,28381,
2024-07-19,Keyboard,15.0,42660,32534,151890.0
2024-08-28,Smartwatch,14.0,12840,1234,162484.0
2024-06-29,Smartwatch,1.0,34932,26572,8360.0
2024-11-22,Unknown,-1.0,37705,33155,-4550.0
2024-12-26,Keyboard,-5.0,36489,29181,-36540.0
2024-05-18,Tablet,-5.0,59677,45913,-68820.0
2024-03-05,Monitor,,13777,10053,
2024-09-18,Smartwatch,,15711,5143,
2024-05-27,Monitor,-3.0,44155,35277,-26634.0
2024-10-19,Laptop,20.0,43116,30641,249500.0
2024-04-16,Mouse,,49198,47167,
2024-12-05,Headphones,,41324,30946,
2024-12-26,Mobile,16.0,19038,10983,128880.0
2024-05-18,Mobile,5.0,28366,19104,46310.0
2024-02-13,Mobile,0.0,39595,36312,0.0
2024-12-11,Mobile,20.0,40423,25916,290140.0
2024-02-08,Camera,,9646,3716,
2024-05-13,Keyboard,,37088,35905,
2024-05-14,Smartwatch,,21959,9204,
2024-01-25,Monitor,12.0,28233,14788,161340.0
2024-11-17,Monitor,19.0,48098,43922,79344.0
2024-11-29, ,,25474,18136,
2024-03-10,Camera,-3.0,48552,41949,-19809.0
2024-07-02,Tablet,-1.0,16821,5026,-11795.0
2024-09-04,Monitor,20.0,46038,33081,259140.0
2024-05-14, ,,38529,34660,
2024-01-29,Mouse,17.0,44202,29750,245684.0
2024-01-14,Unknown,,36182,33185,
2024-09-11,Monitor,,24962,21744,
2024-11-03, ,,41600,31014,
2024-06-25,Unknown,,38301,32749,
2024-03-06, ,,43205,30756,
2024-10-06,Headphones,,40038,31770,
2024-07-28,Tablet,,12615,10506,
2024-08-21,Keyboard,,14198,10501,
2024-05-19,Smartwatch,,40959,26700,
2024-10-05,Keyboard,,50088,42375,
2024-08-03,Mobile,,39924,37658,
2024-05-24,Laptop,,18914,8504,
2024-02-23,Unknown,,26470,11773,
2024-02-05,Tablet,9.0,10830,5424,48654.0
2024-09-14,Monitor,15.0,46178,43942,33540.0
2024-06-06,Headphones,,30927,28181,
2024-05-08,Mobile,6.0,50628,37967,75966.0
2024-07-19,Headphones,18.0,40744,26765,251622.0
2024-01-31,Smartwatch,4.0,55844,40917,59708.0
2024-11-11,Unknown,10.0,32379,23632,87470.0
2024-07-03,Camera,,30627,26198,
2024-03-30,Laptop,,43761,29563,
2024-10-12,Keyboard,-5.0,28742,14472,-71350.0
2024-05-20,Mobile,,19317,7652,
2024-11-24,Unknown,,49835,35267,
2024-01-10,,,40992,36867,
2024-11-11,Mobile,,27826,26073,
2024-03-21,Laptop,,17491,8185,
2024-12-22, ,,39882,29963,
,Camera,10.0,36909,42027,
2024-11-05,Mouse,,21227,15121,
2024-08-11,Keyboard,,18446,11068,
2024-10-14,Smartwatch,,44563,32623,
2024-03-01,Laptop,,4328,1576,
2024-12-15,Monitor,,16775,3776,
2024-05-09,Monitor,,42380,39477,
2024-11-13,Smartwatch,-5.0,19751,17022,-13645.0
2024-04-16,Camera,0.0,38912,30409,0.0
2024-10-23,Printer,,29292,26834,
2024-03-27,Printer,15.0,46319,33802,187755.0
2024-01-29,Smartwatch,,25439,12308,
2024-05-27,Tablet,20.0,33289,29575,74280.0
,Tablet,11.0,31816,20578,
